screen_id,name,node_count,mean_iou,al_mean,al_count,non_al_mean,non_al_count,local_al_mean,local_al_count,local_nonal_mean,local_nonal_count,gt95,b85_95,b70_85,lt70,dropped_conflicts
158,"iPad Pro 11"" - 7",267,0.199192,0.306192,108,0.066324,93,0.990740,108,0.305967,93,36,2,2,162,0
149,"iPad Pro 11"" - 1",219,0.269639,0.436779,87,0.068698,76,0.988505,87,0.324996,76,43,0,1,120,0
185,iPhone 13 Pro Max - 21,203,0.049327,0.009768,55,0.062939,90,0.989990,55,0.355739,90,6,0,0,140,0
236,iPhone 13 Pro Max - 77,415,0.038270,0.037212,122,0.034485,220,0.847946,122,0.361985,220,7,1,1,334,0
219,iPhone 13 Pro Max - 85,323,0.052052,0.037989,118,0.057484,131,0.842792,118,0.349155,131,7,1,1,241,0
228,iPhone 13 Pro Max - 94,322,0.056469,0.058708,95,0.049009,155,0.994205,95,0.315782,155,7,1,1,242,0
204,iPhone 13 Pro Max - 64,322,0.045648,0.028397,84,0.048882,153,0.993446,84,0.283749,153,7,0,1,230,0
175,"iPad Pro 11"" - 25",445,0.116596,0.235617,140,0.028423,199,0.919383,140,0.221787,199,36,2,1,301,0
134,"iPad Pro 12.9"" - 22",445,0.117165,0.205231,159,0.032105,175,0.895947,159,0.250629,175,36,0,2,297,0
309,"iPad Pro 11"" - 58",549,0.099218,0.164788,201,0.030533,205,0.845771,201,0.316001,205,36,2,2,367,0
GRAND,all,2676,0.097949,0.160249,1169,0.043273,1497,0.914813,1169,0.304397,1497,221,9,12,2434,
