scope,axis,bucket,count,pct
ALL,h,0,11979,31.63
ALL,h,2,8535,22.53
ALL,h,non-bucket,8396,22.17
ALL,h,4,1925,5.08
ALL,h,-1,1284,3.39
ALL,h,12,854,2.25
ALL,h,8,849,2.24
ALL,h,6,842,2.22
ALL,h,negative-non-bucket,552,1.46
ALL,h,24,455,1.20
ALL,h,10,448,1.18
ALL,h,1,425,1.12
ALL,h,-4,408,1.08
ALL,h,16,355,0.94
ALL,h,80,189,0.50
ALL,h,20,133,0.35
ALL,h,40,96,0.25
ALL,h,-24,51,0.13
ALL,h,14,35,0.09
ALL,h,-72,16,0.04
ALL,h,28,15,0.04
ALL,h,-40,8,0.02
ALL,h,32,6,0.02
ALL,h,-12,4,0.01
ALL,h,48,4,0.01
ALL,h,-2,3,0.01
ALL,h,96,3,0.01
ALL,h,72,1,0.00
ALL,h,144,1,0.00
ALL,h,56,1,0.00
ALL,h,192,1,0.00
ALL,h,128,1,0.00
ALL,h,64,1,0.00
ALL,h,-56,1,0.00
ALL,v,0,10589,27.96
ALL,v,non-bucket,9930,26.22
ALL,v,4,5550,14.65
ALL,v,2,4500,11.88
ALL,v,8,2095,5.53
ALL,v,1,1034,2.73
ALL,v,negative-non-bucket,973,2.57
ALL,v,-1,936,2.47
ALL,v,12,452,1.19
ALL,v,10,352,0.93
ALL,v,6,254,0.67
ALL,v,24,243,0.64
ALL,v,160,198,0.52
ALL,v,16,162,0.43
ALL,v,20,134,0.35
ALL,v,40,97,0.26
ALL,v,-4,96,0.25
ALL,v,80,96,0.25
ALL,v,-14,82,0.22
ALL,v,-2,42,0.11
ALL,v,14,29,0.08
ALL,v,-10,6,0.02
ALL,v,72,5,0.01
ALL,v,48,4,0.01
ALL,v,64,3,0.01
ALL,v,96,3,0.01
ALL,v,112,3,0.01
ALL,v,-6,2,0.01
ALL,v,192,1,0.00
ALL,v,32,1,0.00
ALL,v,28,1,0.00
ALL,v,56,1,0.00
ALL,v,-128,1,0.00
ALL,v,384,1,0.00
ALL,v,-56,1,0.00
LLM_EMITTED,h,0,5159,61.06
LLM_EMITTED,h,non-bucket,1623,19.21
LLM_EMITTED,h,negative-non-bucket,483,5.72
LLM_EMITTED,h,8,285,3.37
LLM_EMITTED,h,80,189,2.24
LLM_EMITTED,h,-1,151,1.79
LLM_EMITTED,h,10,127,1.50
LLM_EMITTED,h,20,97,1.15
LLM_EMITTED,h,40,96,1.14
LLM_EMITTED,h,2,64,0.76
LLM_EMITTED,h,-24,51,0.60
LLM_EMITTED,h,16,33,0.39
LLM_EMITTED,h,-72,16,0.19
LLM_EMITTED,h,28,15,0.18
LLM_EMITTED,h,1,14,0.17
LLM_EMITTED,h,-40,8,0.09
LLM_EMITTED,h,32,6,0.07
LLM_EMITTED,h,12,5,0.06
LLM_EMITTED,h,4,4,0.05
LLM_EMITTED,h,-12,4,0.05
LLM_EMITTED,h,48,4,0.05
LLM_EMITTED,h,-2,3,0.04
LLM_EMITTED,h,6,3,0.04
LLM_EMITTED,h,14,2,0.02
LLM_EMITTED,h,72,1,0.01
LLM_EMITTED,h,144,1,0.01
LLM_EMITTED,h,56,1,0.01
LLM_EMITTED,h,192,1,0.01
LLM_EMITTED,h,128,1,0.01
LLM_EMITTED,h,64,1,0.01
LLM_EMITTED,h,-56,1,0.01
LLM_EMITTED,v,0,4121,48.78
LLM_EMITTED,v,non-bucket,2554,30.23
LLM_EMITTED,v,negative-non-bucket,583,6.90
LLM_EMITTED,v,8,404,4.78
LLM_EMITTED,v,160,198,2.34
LLM_EMITTED,v,10,124,1.47
LLM_EMITTED,v,20,98,1.16
LLM_EMITTED,v,40,97,1.15
LLM_EMITTED,v,-4,96,1.14
LLM_EMITTED,v,80,96,1.14
LLM_EMITTED,v,2,17,0.20
LLM_EMITTED,v,1,17,0.20
LLM_EMITTED,v,4,7,0.08
LLM_EMITTED,v,72,5,0.06
LLM_EMITTED,v,48,4,0.05
LLM_EMITTED,v,64,3,0.04
LLM_EMITTED,v,96,3,0.04
LLM_EMITTED,v,6,3,0.04
LLM_EMITTED,v,112,3,0.04
LLM_EMITTED,v,12,3,0.04
LLM_EMITTED,v,-2,2,0.02
LLM_EMITTED,v,-6,2,0.02
LLM_EMITTED,v,192,1,0.01
LLM_EMITTED,v,32,1,0.01
LLM_EMITTED,v,-14,1,0.01
LLM_EMITTED,v,16,1,0.01
LLM_EMITTED,v,28,1,0.01
LLM_EMITTED,v,56,1,0.01
LLM_EMITTED,v,-128,1,0.01
LLM_EMITTED,v,384,1,0.01
LLM_EMITTED,v,-56,1,0.01
